rank,code,name,industry,price,pct_change,amount,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,trend_score,volume_score,dmi_score,macd_score,expma_score,money_flow_score,leading_score,adx,plus_di,minus_di,pdi_mdi_diff,vol_ratio,close_ma21_ratio,ma3_ma5_ratio,expma_ratio,macd_diff,macd_dea,macd_hist,main_net_amount,main_net_ratio,sector_rank_pct,stock_rank_in_sector,amount_ok,fund_ok,sector_hot,leading_stock,consecutive_up,consecutive_down,entry_label
1,601066,中信建投,,27.39,10.0,2307224822.0,107.6,107.6,0,15.46,20.0,44.87,15.0,7.64,15.0,15.0,10.0,15.46,9.5,50.7,34.53,10.82,23.71,1.91,0.108501,0.003541,0.03982,0.577032,0.474091,0.205881,260567005.31,0.112935,0.05,0.05,True,True,True,True,1,0,🟡 首日上涨，可关注
2,601958,金钼股份,,30.47,10.0,6401295849.0,100.43,100.43,0,18.12,20.0,21.01,15.0,4.81,15.0,8.0,10.0,18.12,9.5,46.5,42.13,8.49,33.64,1.2,0.247334,0.005641,0.106064,1.84741,1.409086,0.876647,899628465.39,0.140538,0.05,0.05,True,True,True,True,1,0,🟡 首日上涨，可关注
3,600516,方大炭素,,6.28,7.9,1515638787.0,96.1,94.1,2,17.68,15.0,24.49,15.0,6.57,15.0,8.0,10.0,17.68,6.86,59.0,30.07,5.4,24.67,1.64,0.12969,0.002979,0.043814,0.169221,0.151645,0.035152,206017700.12,0.135928,0.3143,0.3143,True,True,False,False,1,0,🟡 首日上涨，可关注
4,600392,盛和资源,,34.48,8.91,9900510846.0,95.27,99.27,-4,22.84,15.0,22.13,15.0,5.57,15.0,8.0,10.0,22.84,7.86,58.9,61.84,4.08,57.76,1.39,0.383284,0.052281,0.118593,2.509975,1.649556,1.720839,1875080939.86,0.189392,0.2143,0.2143,True,True,False,False,2,0,🟠 远离均线，不宜追高
5,000776,广发证券,,22.7,9.98,4319620295.0,95.03,95.03,0,16.33,15.0,24.66,15.0,7.05,14.94,8.0,10.0,16.33,8.71,44.9,38.53,11.25,27.28,1.76,0.158614,0.007875,0.045576,0.749968,0.514284,0.471368,526712969.95,0.121935,0.1286,0.1286,True,True,True,True,1,0,🟡 首日上涨，可关注
6,605376,博迁新材,,245.89,6.3,4242918020.0,93.74,97.74,-4,19.56,15.0,33.87,15.0,4.99,12.05,15.0,10.0,19.56,6.14,39.1,44.59,8.01,36.58,1.25,0.309687,0.046211,0.142848,16.997862,12.481664,9.032394,659595667.83,0.155458,0.3857,0.3857,True,True,False,False,2,0,🟠 远离均线，不宜追高
7,603001,奥康国际,,12.72,6.98,552642790.0,93.74,97.74,-4,23.01,15.0,22.69,15.0,7.82,12.34,8.0,10.0,23.01,6.57,39.7,51.41,9.33,42.08,1.96,0.20384,0.038953,0.071633,0.547733,0.304584,0.4863,105678069.27,0.191223,0.3429,0.3429,True,True,False,False,2,0,🟠 远离均线，不宜追高
8,600906,财达证券,,7.86,8.12,1765277008.0,93.15,93.15,0,17.41,15.0,24.14,15.0,5.6,15.0,8.0,10.0,17.41,7.14,46.0,38.89,8.09,30.8,1.4,0.149043,0.011488,0.053486,0.260526,0.187821,0.145409,234967498.21,0.133105,0.2857,0.2857,True,True,False,False,1,0,🟡 首日上涨，可关注
9,605020,永和股份,,37.59,10.01,2246588904.0,93.13,91.13,2,14.04,20.0,24.92,15.0,6.38,7.86,8.0,10.0,14.04,9.86,30.7,15.0,9.9,5.1,1.59,0.096299,0.010208,0.045103,0.880518,0.640249,0.480537,220666610.78,0.098223,0.0143,0.0143,True,True,True,True,1,0,🟡 首日上涨，可关注
10,601688,华泰证券,,21.29,8.9,5235843669.0,92.24,90.24,2,13.8,15.0,29.33,15.0,6.11,14.61,8.0,10.0,13.8,7.71,44.2,34.7,12.59,22.11,1.53,0.111031,0.000163,0.034981,0.483859,0.391643,0.184433,500970107.47,0.095681,0.2286,0.2286,True,True,False,False,1,0,🟡 首日上涨，可关注
11,000783,长江证券,,8.6,9.97,1847065851.0,91.77,91.77,0,21.47,15.0,37.06,15.0,6.08,10.35,8.0,7.73,21.47,8.14,35.7,40.1,11.67,28.42,1.52,0.088214,0.010489,0.012427,0.125677,0.018208,0.214938,323689452.31,0.175245,0.1857,0.1857,True,True,True,True,1,0,🟡 首日上涨，可关注
12,000725,京东方Ａ,,6.93,5.8,25427024792.0,91.05,91.05,0,10.82,15.0,38.2,15.0,5.11,14.41,15.0,10.0,10.82,5.71,43.8,36.09,8.49,27.6,1.28,0.172117,0.044707,0.092894,0.306967,0.249758,0.114419,1647545706.27,0.064795,0.4286,0.4286,True,True,False,False,1,0,🟡 首日上涨，可关注
13,000668,荣丰控股,,23.43,5.26,188081335.0,91.04,91.04,0,15.64,10.0,39.22,15.0,5.82,15.0,15.0,10.0,15.64,4.57,60.2,30.64,5.34,25.3,1.46,0.175193,0.025653,0.073459,0.895262,0.708141,0.374242,21579142.19,0.114733,0.5429,0.5429,True,True,False,False,2,0,🟠 连涨2天，注意节奏
14,601696,中银证券,,13.48,5.72,2478528812.0,90.68,88.68,2,20.26,10.0,29.03,15.0,5.28,15.0,8.0,10.0,20.26,5.14,53.4,48.94,13.96,34.98,1.32,0.156845,0.004028,0.051178,0.553176,0.367883,0.370585,403279126.66,0.162709,0.4857,0.4857,True,True,False,False,1,0,🟡 首日上涨，可关注
15,603993,洛阳钼业,,21.65,8.03,14563357591.0,89.87,89.87,0,19.45,15.0,19.63,15.0,5.56,9.87,8.0,10.0,19.45,7.0,34.7,37.12,12.91,24.22,1.39,0.136938,0.002821,0.039708,0.685639,0.395831,0.579616,2246820873.32,0.154279,0.3,0.3,True,True,False,False,1,0,🟡 首日上涨，可关注
16,601678,滨化股份,,6.38,8.87,1933626493.0,88.31,86.31,2,13.32,15.0,27.22,15.0,6.5,10.92,8.0,10.0,13.32,7.57,36.8,32.07,12.16,19.91,1.63,0.116221,0.002182,0.042129,0.173654,0.130104,0.087101,175442529.43,0.090732,0.2429,0.2429,True,True,False,False,1,0,🟡 首日上涨，可关注
17,001282,三联锻造,,22.13,-0.09,241617268.0,87.9,84.9,3,25.0,5.0,32.35,15.0,6.18,15.0,8.0,10.0,25.0,0.71,48.6,44.34,18.66,25.68,1.55,0.17871,0.062938,0.044836,0.98515,0.416467,1.137365,51184013.07,0.211839,0.9286,0.9286,True,True,False,False,0,1,🟢 回调即机会
18,603083,剑桥科技,,235.99,10.0,8146941531.0,87.51,93.51,-6,17.43,20.0,18.56,15.0,4.89,8.91,8.0,10.0,17.43,9.29,32.8,47.55,11.38,36.17,1.22,0.203507,0.034676,0.063925,9.629712,4.372167,10.51509,1086301592.34,0.133339,0.0714,0.0714,True,True,True,True,3,0,🟠 连涨多日，等回调再入
19,000758,中色股份,,7.63,8.23,1034591769.0,87.45,87.45,0,14.41,15.0,37.26,15.0,6.62,11.13,8.0,10.0,14.41,7.29,37.3,40.35,10.72,29.63,1.66,0.111628,0.002687,0.022752,0.164315,0.072652,0.183325,105595083.0,0.102064,0.2714,0.2714,True,True,False,False,2,0,🟠 连涨2天，注意节奏
20,603980,吉华集团,,6.36,8.72,315872284.0,87.33,87.33,0,15.46,15.0,33.52,15.0,9.94,10.62,8.0,5.88,15.46,7.43,36.2,34.0,9.87,24.13,2.48,0.10089,0.008713,0.009595,0.098031,0.023028,0.150005,35667770.67,0.112918,0.2571,0.2571,True,True,False,False,1,0,🟡 首日上涨，可关注
