rank,code,name,industry,price,pct_change,amount,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,trend_score,volume_score,dmi_score,macd_score,expma_score,money_flow_score,leading_score,context_score,event_score,event_count,event_note,event_titles,margin_score,margin_balance_change_pct,margin_net_buy,margin_note,lhb_score,lhb_count,lhb_net_buy,lhb_note,context_note,trend_quality_score,trend_persistence_score,ma20_slope_score,ma20_distance_score,adx,plus_di,minus_di,pdi_mdi_diff,vol_ratio,close_ma21_ratio,close_ma20_ratio,above_ma20_days_20,ma20_slope_10_pct,ma20_slope_20_pct,trend_quality_pass,current_above_ma20,ma20_not_overheated,ma3_ma5_ratio,expma_ratio,macd_diff,macd_dea,macd_hist,main_net_amount,main_net_ratio,sector_rank_pct,stock_rank_in_sector,amount_ok,fund_ok,sector_hot,leading_stock,consecutive_up,consecutive_down,entry_label,planned_holding_days,stop_loss_price,take_profit_1_price,take_profit_2_price,trailing_stop_price,risk_reward_ratio,exit_strategy,exit_signal,exit_note,day1_stop_loss_price,day1_take_profit_price,day1_exit_plan,day2_stop_loss_price,day2_take_profit_price,day2_exit_plan,day3_stop_loss_price,day3_take_profit_price,day3_exit_plan
1,600516,方大炭素,,6.77,10.08,1753256433.0,107.81,107.81,0,23.89,20.0,24.36,14.16,6.21,15.0,8.0,10.0,23.89,9.75,0.8,-1.0,16,"公告偏风险(2个负面关键词, 0个异动/风险词)",方大炭素:-方大炭素:2025年年度暨2026年第一季度业绩说明会投资者关系活动记录表；方大炭素:方大炭素2026年第五次临时股东会会议资料；方大炭素:甘肃金城律师事务所关于方大炭素新材料科技股份有限公司差异化分红事项的法律意见书,1.8,2.85,15083041.0,融资余额上升2.9%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(2个负面关键词, 0个异动/风险词)；融资余额上升2.9%；近期未上龙虎榜",14.16,4.5,5.0,1.66,61.1,34.61,5.92,28.69,1.55,0.179149,1.173717,15,7.5818,5.6894,True,True,True,0.023187,0.060419,0.241742,0.191932,0.09962,324407714.19,0.185032,0.025,0.025,True,True,True,True,1,0,🟠 远离均线，不宜追高,1,6.3,7.53,8.06,6.3,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看7.20/止损6.53；T+2看7.34/止损6.30；T+3看7.53/止损6.30,参考信号日收盘价6.77，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,6.53,7.2,T+1：冲到7.20先减仓，跌破6.53止损；若高开低走不恋战,6.3,7.34,T+2：未突破7.34且量能转弱则减仓，跌破6.30退出,6.3,7.53,T+3：到7.53分批止盈，跌破6.30或MA5失守退出
2,601066,中信建投,,29.56,6.6,4510890022.0,99.26,99.26,0,15.87,15.0,39.8,15.0,7.44,15.0,15.0,10.0,15.87,7.75,-1.8,0.0,6,近期公告中性,中信建投:H股市场公告:(更新)截至2025年12月31日止年度之末期股息；中信建投:关于召开2025年度股东会的通知；中信建投:中信建投证券股份有限公司2025年度股东会会议资料,-1.8,-3.25,-58016506.0,融资余额下降-3.3%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-3.3%；近期未上龙虎榜,15.0,6.0,5.0,2.19,54.7,45.73,11.01,34.72,1.86,0.156365,1.152235,20,8.4826,13.3675,True,True,True,0.036925,0.067021,1.145944,0.860143,0.571602,501043904.0,0.111074,0.225,0.225,True,True,False,False,1,0,🟡 首日上涨，可关注,1,27.49,32.87,34.94,27.87,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看31.42/止损28.53；T+2看32.04/止损27.73；T+3看32.87/止损27.87,参考信号日收盘价29.56，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,28.53,31.42,T+1：冲到31.42先减仓，跌破28.53止损；若高开低走不恋战,27.73,32.04,T+2：未突破32.04且量能转弱则减仓，跌破27.73退出,27.87,32.87,T+3：到32.87分批止盈，跌破27.87或MA5失守退出
3,600906,财达证券,,8.0,6.67,1577585604.0,99.17,97.17,2,21.1,15.0,23.12,15.0,4.99,15.0,8.0,10.0,21.1,7.88,0.2,0.0,7,近期公告中性,财达证券:财达证券股份有限公司2025年年度股东会会议材料；财达证券:财达证券股份有限公司章程；财达证券:财达证券股份有限公司关于召开2025年年度股东会的通知,0.2,2.96,-6053106.0,融资余额上升3.0%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升3.0%；近期未上龙虎榜,15.0,5.7,5.0,2.66,51.1,28.38,8.07,20.31,1.25,0.135903,1.133466,19,7.4195,10.4884,True,True,True,0.010154,0.061363,0.283245,0.246416,0.073657,251347924.13,0.159324,0.2125,0.2125,True,True,False,False,1,0,🟡 首日上涨，可关注,3,7.44,8.9,9.46,7.53,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看8.50/止损7.72；T+2看8.67/止损7.57；T+3看8.90/止损7.53,参考信号日收盘价8.00，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,7.72,8.5,T+1：冲到8.50先减仓，跌破7.72止损；若高开低走不恋战,7.57,8.67,T+2：未突破8.67且量能转弱则减仓，跌破7.57退出,7.53,8.9,T+3：到8.90分批止盈，跌破7.53或MA5失守退出
4,603335,迪生力,,9.1,10.04,923232753.0,96.28,96.28,0,13.46,20.0,32.05,14.5,4.88,10.56,13.25,10.0,13.46,9.62,0.0,0.0,0,上下文数据超时,,0.0,0.0,0.0,上下文数据超时,0.0,0,0.0,上下文数据超时,上下文数据超时,14.5,4.5,5.0,2.0,36.1,19.84,8.32,11.52,1.22,0.163683,1.159975,15,9.1782,9.1554,True,True,True,0.027408,0.069949,0.338323,0.31715,0.042346,82063329.25,0.088887,0.0375,0.0375,True,True,True,True,1,0,🟡 首日上涨，可关注,1,8.46,10.35,11.6,8.46,1.97,1日快进快出，冲高先兑现,1日短线计划；T+1看9.77/止损8.78；T+2看10.10/止损8.46；T+3看10.35/止损8.46,参考信号日收盘价9.10，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,8.78,9.77,T+1：冲到9.77先减仓，跌破8.78止损；若高开低走不恋战,8.46,10.1,T+2：未突破10.10且量能转弱则减仓，跌破8.46退出,8.46,10.35,T+3：到10.35分批止盈，跌破8.46或MA5失守退出
5,603713,密尔克卫,,75.65,10.0,927925806.0,94.24,104.24,-10,18.93,20.0,21.07,12.8,10.0,15.0,8.0,10.0,18.93,9.31,0.2,3.0,21,公告偏正面(4个积极关键词),密尔克卫:董事会薪酬与考核委员会关于公司2026年股票期权激励计划激励对象名单的审核意见及公示情况说明；密尔克卫:密尔克卫智能供应链服务集团股份有限公司2026年第二次临时股东会会议资料；密尔克卫:密尔克卫智能供应链服务集团股份有限公司关于股份回购实施结果暨股份变动的公告,-2.8,-12.62,-796912.0,融资余额下降-12.6%,0.0,0,0.0,近期未上龙虎榜,公告偏正面(4个积极关键词)；融资余额下降-12.6%；近期未上龙虎榜,12.8,4.8,5.0,0.0,57.4,55.92,3.85,52.06,2.62,0.302044,1.298244,16,7.7795,5.2279,False,True,False,0.047405,0.09231,4.33269,2.786159,3.093061,129287170.69,0.139329,0.0688,0.0688,True,True,True,True,4,0,🟠 连涨多日，等回调再入,1,70.35,84.12,89.42,71.23,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看80.42/止损73.00；T+2看82.00/止损70.86；T+3看84.12/止损71.23,参考信号日收盘价75.65，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,73.0,80.42,T+1：冲到80.42先减仓，跌破73.00止损；若高开低走不恋战,70.86,82.0,T+2：未突破82.00且量能转弱则减仓，跌破70.86退出,71.23,84.12,T+3：到84.12分批止盈，跌破71.23或MA5失守退出
6,601678,滨化股份,,6.51,6.03,1466680070.0,93.88,91.88,2,19.62,15.0,20.76,12.47,4.82,11.79,8.0,10.0,19.62,7.38,2.8,0.0,4,近期公告中性,滨化股份:滨化股份关于刊发境外上市股份(H股)发行聆讯后资料集的公告；滨化股份:滨化股份关于香港联交所审议公司发行境外上市股份(H股)的公告；滨化股份:滨化股份关于为子公司提供担保的公告,2.8,7.02,19418961.0,融资余额上升7.0%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升7.0%；近期未上龙虎榜,12.47,3.6,3.03,2.84,38.6,35.25,11.74,23.51,1.21,0.128063,1.126395,12,1.6623,4.2478,False,True,True,0.00945,0.04778,0.185537,0.157327,0.056418,213676054.91,0.145687,0.2625,0.2625,True,True,False,False,1,0,🟡 首日上涨，可关注,3,6.05,7.24,7.69,6.08,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看6.92/止损6.28；T+2看7.06/止损6.11；T+3看7.24/止损6.08,参考信号日收盘价6.51，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,6.28,6.92,T+1：冲到6.92先减仓，跌破6.28止损；若高开低走不恋战,6.11,7.06,T+2：未突破7.06且量能转弱则减仓，跌破6.11退出,6.08,7.24,T+3：到7.24分批止盈，跌破6.08或MA5失守退出
7,600058,五矿发展,,11.77,10.0,297115216.0,90.27,90.27,0,16.32,20.0,34.04,8.39,5.31,14.93,8.0,10.0,16.32,9.12,-1.8,0.0,3,近期公告中性,五矿发展:五矿发展股份有限公司关于重大资产置换、发行股份及支付现金购买资产并募集配套资金暨关联交易事项的进展公告；五矿发展:五矿发展股份有限公司关于选举公司董事长的公告；五矿发展:五矿发展股份有限公司第十届董事会第十六次会议决议公告,-1.8,-1.85,-2687717.0,融资余额下降-1.9%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-1.9%；近期未上龙虎榜,8.39,3.0,0.0,2.39,44.9,37.03,10.39,26.64,1.33,0.144571,1.144329,10,-0.2231,-6.8595,False,True,True,0.011471,0.031855,0.312766,0.20158,0.222372,34245286.04,0.115259,0.0875,0.0875,True,True,True,True,1,0,🟡 首日上涨，可关注,3,10.95,13.09,13.95,10.95,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看12.51/止损11.36；T+2看12.76/止损10.95；T+3看13.09/止损10.95,参考信号日收盘价11.77，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,11.36,12.51,T+1：冲到12.51先减仓，跌破11.36止损；若高开低走不恋战,10.95,12.76,T+2：未突破12.76且量能转弱则减仓，跌破10.95退出,10.95,13.09,T+3：到13.09分批止盈，跌破10.95或MA5失守退出
8,600360,华微电子,,13.93,4.27,1884562682.0,90.0,90.0,0,21.35,15.0,20.96,14.97,5.14,10.34,8.0,10.0,21.35,6.0,-0.8,0.0,3,近期公告中性,华微电子:吉林华微电子股份有限公司投资者关系活动记录表；华微电子:吉林华微电子股份有限公司投资者关系活动记录表；华微电子:吉林华微电子股份有限公司2025年年度权益分派实施公告,-0.8,-0.84,-4812636.0,融资余额下降-0.8%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-0.8%；近期未上龙虎榜,14.97,4.2,5.0,2.77,35.7,33.66,8.9,24.76,1.28,0.134497,1.129353,14,3.3993,12.3668,False,True,True,0.038297,0.056924,0.500465,0.296295,0.408339,304687125.41,0.161675,0.4,0.4,True,True,False,False,1,0,🟡 首日上涨，可关注,3,12.95,15.49,16.59,12.95,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看14.81/止损13.44；T+2看15.10/止损12.95；T+3看15.49/止损12.95,参考信号日收盘价13.93，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,13.44,14.81,T+1：冲到14.81先减仓，跌破13.44止损；若高开低走不恋战,12.95,15.1,T+2：未突破15.10且量能转弱则减仓，跌破12.95退出,12.95,15.49,T+3：到15.49分批止盈，跌破12.95或MA5失守退出
9,603324,盛剑科技,,47.76,5.43,991753450.0,89.92,93.92,-4,20.76,15.0,21.21,13.4,5.13,15.0,8.0,10.0,20.76,6.62,0.0,0.0,0,上下文数据超时,,0.0,0.0,0.0,上下文数据超时,0.0,0,0.0,上下文数据超时,上下文数据超时,13.4,5.4,5.0,0.0,59.4,55.8,4.6,51.19,1.28,0.35537,1.342233,18,16.8114,28.4822,False,True,False,0.020961,0.153311,3.782398,3.035916,1.492964,154886766.32,0.156175,0.3375,0.3375,True,True,False,False,2,0,🟠 远离均线，不宜追高,1,44.42,53.11,57.87,44.42,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看50.77/止损46.09；T+2看51.81/止损44.42；T+3看53.11/止损44.42,参考信号日收盘价47.76，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,46.09,50.77,T+1：冲到50.77先减仓，跌破46.09止损；若高开低走不恋战,44.42,51.81,T+2：未突破51.81且量能转弱则减仓，跌破44.42退出,44.42,53.11,T+3：到53.11分批止盈，跌破44.42或MA5失守退出
10,000766,通化金马,,26.61,10.0,1532490481.0,89.66,89.66,0,14.67,20.0,21.43,15.0,10.0,7.43,8.0,5.25,14.67,9.31,0.0,0.0,0,上下文数据超时,,0.0,0.0,0.0,上下文数据超时,0.0,0,0.0,上下文数据超时,上下文数据超时,15.0,4.2,4.35,3.87,29.9,32.92,11.1,21.82,3.78,0.088365,1.085259,14,3.4775,3.5692,False,True,True,0.014334,0.017491,0.260953,0.106012,0.309882,153343790.2,0.100062,0.0688,0.0688,True,True,True,True,1,0,🟡 首日上涨，可关注,2,24.95,29.26,30.92,25.5,1.6,2日短线跟踪，按纪律退出,2日短线计划；T+1看28.10/止损25.69；T+2看28.60/止损25.41；T+3看29.26/止损25.50,参考信号日收盘价26.61，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,25.69,28.1,T+1：冲到28.10先减仓，跌破25.69止损；若高开低走不恋战,25.41,28.6,T+2：未突破28.60且量能转弱则减仓，跌破25.41退出,25.5,29.26,T+3：到29.26分批止盈，跌破25.50或MA5失守退出
