rank,code,name,industry,price,pct_change,amount,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,trend_score,volume_score,dmi_score,macd_score,expma_score,money_flow_score,leading_score,context_score,event_score,event_count,event_note,event_titles,margin_score,margin_balance_change_pct,margin_net_buy,margin_note,lhb_score,lhb_count,lhb_net_buy,lhb_note,context_note,selection_reason,watch_reason,buy_action,buy_trigger,buy_avoid_rules,max_open_gap_pct,max_buy_price,pullback_buy_price,invalid_below_price,trend_quality_score,trend_persistence_score,ma20_slope_score,ma20_distance_score,adx,plus_di,minus_di,pdi_mdi_diff,vol_ratio,close_ma21_ratio,close_ma20_ratio,above_ma20_days_20,ma20_slope_10_pct,ma20_slope_20_pct,trend_quality_pass,current_above_ma20,ma20_not_overheated,ma3_ma5_ratio,expma_ratio,macd_diff,macd_dea,macd_hist,main_net_amount,main_net_ratio,sector_rank_pct,stock_rank_in_sector,amount_ok,fund_ok,sector_hot,leading_stock,consecutive_up,consecutive_down,entry_label,planned_holding_days,stop_loss_price,take_profit_1_price,take_profit_2_price,trailing_stop_price,risk_reward_ratio,exit_strategy,exit_signal,exit_note,day1_stop_loss_price,day1_take_profit_price,day1_exit_plan,day2_stop_loss_price,day2_take_profit_price,day2_exit_plan,day3_stop_loss_price,day3_take_profit_price,day3_exit_plan
1,603032,德新科技,,26.87,9.99,700974864.0,91.46,89.46,2,7.1,20.0,28.86,14.9,8.38,13.24,8.0,10.0,7.1,9.04,-1.2,0.0,7,近期公告中性,德新科技:德力西新能源科技股份有限公司关于2021年限制性股票激励计划首次授予部分第四个解除限售期解除限售股份上市流通的提示性公告；德新科技:北京海润天睿律师事务所关于德力西新能源科技股份有限公司2021年限制性股票激励计划首次授予部分第四个解除限售期限制性股票解锁相关事项的法律意见书；德新科技:德力西新能源科技股份有限公司关于参加新疆辖区上市公司2026年投资者网上集体接待日活动的公告,-1.2,-21.84,5247819.0,融资余额下降-21.8%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-21.8%；近期未上龙虎榜,趋势质量较好；DMI趋势偏强；量能放大；MACD动能确认；板块相对靠前,当日涨幅较高；资金净流入偏弱；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤27.27；盘中回踩25.79附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破26.47或开盘后放量走弱不买；成交额明显不足不买。,1.5,27.27,25.79,26.47,14.9,4.2,4.01,3.69,41.5,26.72,6.27,20.45,2.09,0.090735,1.092387,14,3.2056,3.1471,True,True,True,0.001163,0.035637,0.582253,0.472176,0.220154,-10853462.0,-0.015483,0.0959,0.0959,True,False,True,True,1,0,🟡 首日上涨，可关注,3,24.99,29.88,31.76,25.27,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看28.56/止损25.93；T+2看29.13/止损25.40；T+3看29.88/止损25.27,参考信号日收盘价26.87，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,25.93,28.56,T+1：冲到28.56先减仓，跌破25.93止损；若高开低走不恋战,25.4,29.13,T+2：未突破29.13且量能转弱则减仓，跌破25.40退出,25.27,29.88,T+3：到29.88分批止盈，跌破25.27或MA5失守退出
2,001206,依依股份,,20.94,9.4,226077548.0,91.26,91.26,0,13.29,20.0,22.29,10.32,6.02,15.0,8.0,10.0,13.29,8.63,0.0,0.0,8,近期公告中性,依依股份:天津市依依卫生用品股份有限公司董事、高级管理人员薪酬管理制度；依依股份:天津市依依卫生用品股份有限公司信息披露制度；依依股份:关于变更公司经营范围并修订《公司章程》的公告,0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,近期公告中性；无两融数据；近期未上龙虎榜,趋势质量较好；DMI趋势偏强；量能放大；MACD动能确认；资金净流入,当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤21.25；盘中回踩19.51附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破20.63或开盘后放量走弱不买；成交额明显不足不买。,1.5,21.25,19.51,20.63,10.32,3.3,4.02,0.0,51.3,46.55,8.5,38.05,1.51,0.211505,1.20988,11,3.2144,-4.3494,False,True,True,0.019069,0.060842,0.927612,0.643883,0.567457,55542719.0,0.24568,0.137,0.137,True,True,True,True,1,0,🟡 首日上涨，可关注,1,19.47,23.29,24.75,19.8,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看22.26/止损20.21；T+2看22.70/止损19.70；T+3看23.29/止损19.80,参考信号日收盘价20.94，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,20.21,22.26,T+1：冲到22.26先减仓，跌破20.21止损；若高开低走不恋战,19.7,22.7,T+2：未突破22.70且量能转弱则减仓，跌破19.70退出,19.8,23.29,T+3：到23.29分批止盈，跌破19.80或MA5失守退出
3,603950,长源东谷,,76.75,10.0,1044319724.0,90.48,88.48,2,14.67,20.0,22.8,7.54,4.48,15.0,8.0,10.0,14.67,9.59,-0.8,-0.8,3,"公告偏风险(0个负面关键词, 1个异动/风险词)",长源东谷:襄阳长源东谷实业股份有限公司股票交易异常波动公告；长源东谷:襄阳长源东谷实业股份有限公司关于2025年限制性股票激励计划第一个解除限售期限售股份上市流通的公告；长源东谷:襄阳长源东谷实业股份有限公司关于筹划发行股份购买资产并募集配套资金暨关联交易事项的进展公告,0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；无两融数据；近期未上龙虎榜",DMI趋势偏强；MACD动能确认；资金净流入；板块相对靠前,当日涨幅较高；量能确认不足；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤77.90；盘中回踩74.88附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破75.60或开盘后放量走弱不买；成交额明显不足不买。,1.5,77.9,74.88,75.6,7.54,2.1,0.02,2.42,45.6,24.63,8.89,15.75,1.12,0.138475,1.143202,7,0.0142,-2.0484,False,True,True,0.002439,0.056327,2.932496,2.263429,1.338133,317353255.0,0.303885,0.0411,0.0411,True,True,True,True,1,0,🟢 趋势启动，适合入场,3,71.38,85.35,92.24,73.39,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看81.59/止损74.06；T+2看83.20/止损73.76；T+3看85.35/止损73.39,参考信号日收盘价76.75，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,74.06,81.59,T+1：冲到81.59先减仓，跌破74.06止损；若高开低走不恋战,73.76,83.2,T+2：未突破83.20且量能转弱则减仓，跌破73.76退出,73.39,85.35,T+3：到85.35分批止盈，跌破73.39或MA5失守退出
4,600857,宁波中百,,19.66,10.02,323500871.0,88.5,98.5,-10,10.19,20.0,39.82,12.2,7.49,14.7,15.0,10.0,10.19,9.73,-0.8,-0.8,4,"公告偏风险(0个负面关键词, 1个异动/风险词)",宁波中百:宁波中百股份有限公司股票交易异常波动公告；宁波中百:宁波中百股份有限公司2026年第一次临时股东会会议资料；宁波中百:宁波中百股份有限公司关于召开2026年第一次临时股东会的通知,0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；无两融数据；近期未上龙虎榜",趋势质量较好；MA20斜率上行；DMI趋势偏强；量能放大；MACD动能确认,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤19.95；盘中回踩17.12附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破19.37或开盘后放量走弱不买；成交额明显不足不买。,1.5,19.95,17.12,19.37,12.2,4.2,5.0,0.0,44.4,41.07,6.84,34.23,1.87,0.234518,1.232911,14,6.9878,15.009,False,True,False,0.065864,0.078894,0.91005,0.525175,0.769749,37200712.0,0.114994,0.0274,0.0274,True,True,True,True,4,0,🟠 连涨多日，等回调再入,1,18.28,21.86,23.24,18.28,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看20.90/止损18.97；T+2看21.31/止损18.28；T+3看21.86/止损18.28,参考信号日收盘价19.66，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,18.97,20.9,T+1：冲到20.90先减仓，跌破18.97止损；若高开低走不恋战,18.28,21.31,T+2：未突破21.31且量能转弱则减仓，跌破18.28退出,18.28,21.86,T+3：到21.86分批止盈，跌破18.28或MA5失守退出
5,000566,海南海药,,4.54,9.93,405090431.0,88.33,86.33,2,13.53,20.0,34.39,7.35,6.29,15.0,8.0,10.0,13.53,8.77,-2.6,-0.8,8,"公告偏风险(0个负面关键词, 1个异动/风险词)",海南海药:关于股票交易异常波动公告；海南海药:关于董事辞职的公告；海南海药:上海市锦天城(深圳)律师事务所关于海南海药股份有限公司2026年第二次临时股东会的法律意见书,-1.8,-2.49,-1016855.0,融资余额下降-2.5%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额下降-2.5%；近期未上龙虎榜",DMI趋势偏强；量能放大；MACD动能确认；资金净流入；板块相对靠前,当日涨幅较高；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤4.61；盘中回踩4.41附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破4.47或开盘后放量走弱不买；成交额明显不足不买。,1.5,4.61,4.41,4.47,7.35,1.5,0.0,2.85,49.0,35.07,25.6,9.47,1.57,0.125089,1.126132,5,-2.053,-12.1582,False,True,True,0.018896,0.028639,0.149081,0.084596,0.12897,103631534.0,0.255823,0.1233,0.1233,True,True,True,True,1,0,🟢 趋势启动，适合入场,3,4.22,5.05,5.37,4.32,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看4.83/止损4.38；T+2看4.92/止损4.34；T+3看5.05/止损4.32,参考信号日收盘价4.54，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,4.38,4.83,T+1：冲到4.83先减仓，跌破4.38止损；若高开低走不恋战,4.34,4.92,T+2：未突破4.92且量能转弱则减仓，跌破4.34退出,4.32,5.05,T+3：到5.05分批止盈，跌破4.32或MA5失守退出
6,600579,中化装备,,8.09,4.52,198357276.0,88.08,88.08,0,13.29,15.0,24.62,13.14,6.94,15.0,8.0,10.0,13.29,5.21,1.5,1.5,5,公告偏正面(1个积极关键词),中化装备:中化装备科技(青岛)股份有限公司2025年度暨2026年第一季度业绩说明会投资者关系活动记录表；中化装备:中化装备科技(青岛)股份有限公司关于召开2025年度暨2026年第一季度业绩说明会的公告；中化装备:中化装备科技(青岛)股份有限公司2025年年度股东会决议公告,0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,公告偏正面(1个积极关键词)；无两融数据；近期未上龙虎榜,趋势质量较好；DMI趋势偏强；量能放大；MACD动能确认；资金净流入,暂无明显额外风险，仍需按T+1开盘条件执行,轻仓观察,T+1不涨停、不停牌；开盘高开不超过2.0%且价格≤8.25；盘中回踩7.66附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过2.0%不追；跌破7.97或开盘后放量走弱不买；成交额明显不足不买。,2.0,8.25,7.66,7.97,13.14,3.3,4.49,2.35,49.8,41.33,11.66,29.67,1.73,0.149459,1.145974,11,3.5953,-3.0688,False,True,True,0.032907,0.04733,0.27711,0.208413,0.137395,48712817.0,0.245581,0.4795,0.4795,True,True,False,False,1,0,🟡 首日上涨，可关注,3,7.52,9.0,9.66,7.52,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看8.60/止损7.81；T+2看8.77/止损7.54；T+3看9.00/止损7.52,参考信号日收盘价8.09，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,7.81,8.6,T+1：冲到8.60先减仓，跌破7.81止损；若高开低走不恋战,7.54,8.77,T+2：未突破8.77且量能转弱则减仓，跌破7.54退出,7.52,9.0,T+3：到9.00分批止盈，跌破7.52或MA5失守退出
7,000988,华工科技,,177.03,10.0,19793113709.0,85.86,83.86,2,0.0,20.0,38.21,15.0,7.9,10.48,12.9,10.0,0.0,9.38,-1.8,0.0,6,近期公告中性,华工科技:北京市嘉源律师事务所关于华工科技产业股份有限公司2026年第二次临时股东会的法律意见书；华工科技:2026年第二次临时股东会决议公告；华工科技:第九届董事会第二十五次会议决议公告,-1.8,-1.32,-47805024.0,融资余额下降-1.3%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-1.3%；近期未上龙虎榜,趋势质量较好；MA20斜率上行；DMI趋势偏强；量能放大；MACD动能确认,当日涨幅较高；资金净流入偏弱；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤179.69；盘中回踩170.17附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破174.37或开盘后放量走弱不买；成交额明显不足不买。,1.5,179.69,170.17,174.37,15.0,4.2,5.0,3.47,36.0,34.73,11.58,23.14,1.97,0.103931,1.101032,14,3.1893,9.4408,True,True,True,0.01721,0.04841,4.297876,4.114166,0.367421,-6232553952.0,-0.314885,0.0616,0.0616,True,False,True,True,1,0,🟡 首日上涨，可关注,3,164.64,196.86,209.25,166.76,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看188.18/止损170.83；T+2看191.90/止损167.62；T+3看196.86/止损166.76,参考信号日收盘价177.03，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,170.83,188.18,T+1：冲到188.18先减仓，跌破170.83止损；若高开低走不恋战,167.62,191.9,T+2：未突破191.90且量能转弱则减仓，跌破167.62退出,166.76,196.86,T+3：到196.86分批止盈，跌破166.76或MA5失守退出
8,603257,中国瑞林,,75.0,5.53,228610901.0,85.45,83.45,2,9.99,15.0,24.42,15.0,6.37,12.99,8.0,10.0,9.99,6.3,-0.2,0.0,2,近期公告中性,中国瑞林:2025年年度权益分派实施公告；中国瑞林:关于使用部分闲置募集资金进行现金管理的进展公告,-0.2,-1.05,1075881.0,融资余额下降-1.1%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-1.1%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,事件/两融/龙虎榜偏负,可积极观察,T+1不涨停、不停牌；开盘高开不超过3.0%且价格≤77.25；盘中回踩72.02附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过3.0%不追；跌破73.88或开盘后放量走弱不买；成交额明显不足不买。,3.0,77.25,72.02,73.88,15.0,5.7,5.0,3.45,41.0,29.04,5.62,23.42,1.59,0.107128,1.102066,19,7.7605,8.6465,True,True,True,0.019449,0.048892,1.988666,1.752781,0.471771,24316186.0,0.106365,0.3699,0.3699,True,True,False,False,1,0,🟡 首日上涨，可关注,3,69.75,83.4,88.65,71.22,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看79.72/止损72.38；T+2看81.30/止损70.94；T+3看83.40/止损71.22,参考信号日收盘价75.00，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,72.38,79.72,T+1：冲到79.72先减仓，跌破72.38止损；若高开低走不恋战,70.94,81.3,T+2：未突破81.30且量能转弱则减仓，跌破70.94退出,71.22,83.4,T+3：到83.40分批止盈，跌破71.22或MA5失守退出
9,603407,长裕集团,,97.2,5.96,1039852483.0,84.62,84.62,0,12.4,15.0,22.1,10.7,5.47,15.0,8.0,10.0,12.4,6.85,1.2,-1.6,22,"公告偏风险(0个负面关键词, 2个异动/风险词)",长裕集团:北京市时代九和律师事务所关于长裕控股集团股份有限公司2026年第一次临时股东会的法律意见书；长裕集团:2026年第一次临时股东会决议公告；长裕集团:关于开立募集资金理财产品专用结算账户的公告,2.8,191.94,8412822.0,融资余额上升191.9%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 2个异动/风险词)；融资余额上升191.9%；近期未上龙虎榜",趋势质量较好；MA20斜率上行；DMI趋势偏强；MACD动能确认；资金净流入,偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤98.66；盘中回踩90.44附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破95.74或开盘后放量走弱不买；成交额明显不足不买。,1.5,98.66,90.44,95.74,10.7,2.7,5.0,0.0,72.3,61.91,3.36,58.55,1.37,0.48411,1.471423,9,11.6523,0.0,False,True,False,0.029551,0.163488,9.687247,7.714066,3.946361,216448512.0,0.208153,0.3151,0.3151,True,True,False,False,1,0,🟡 首日上涨，可关注,1,90.4,108.09,115.41,90.4,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看103.32/止损93.80；T+2看105.36/止损90.40；T+3看108.09/止损90.40,参考信号日收盘价97.20，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,93.8,103.32,T+1：冲到103.32先减仓，跌破93.80止损；若高开低走不恋战,90.4,105.36,T+2：未突破105.36且量能转弱则减仓，跌破90.40退出,90.4,108.09,T+3：到108.09分批止盈，跌破90.40或MA5失守退出
10,600276,恒瑞医药,,52.82,8.53,8430983010.0,82.49,82.49,0,8.42,20.0,37.49,8.75,7.28,12.27,8.0,8.99,8.42,8.08,0.7,1.5,18,公告偏正面(1个积极关键词),恒瑞医药:恒瑞医药关于获得药物临床试验批准通知书的公告；恒瑞医药:恒瑞医药关于获得药品注册批准的公告；恒瑞医药:恒瑞医药关于获得药品注册批准的公告,-0.8,0.58,-11021667.0,融资余额下降0.6%,0.0,0,0.0,近期未上龙虎榜,公告偏正面(1个积极关键词)；融资余额下降0.6%；近期未上龙虎榜,DMI趋势偏强；量能放大；MACD动能确认；资金净流入；板块相对靠前,短线已有涨幅，避免高开追入；当日涨幅较高,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤53.61；盘中回踩50.48附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破52.03或开盘后放量走弱不买；成交额明显不足不买。,1.5,53.61,50.48,52.03,8.75,2.1,0.0,3.65,39.5,33.3,6.55,26.75,1.82,0.09187,1.093922,7,-1.193,-7.7527,False,True,True,0.011476,0.016621,0.970872,0.537845,0.866056,339954688.0,0.040322,0.1918,0.1918,True,True,True,True,2,0,🟠 连涨2天，注意节奏,3,49.42,58.26,61.66,50.55,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看55.88/止损50.97；T+2看56.90/止损50.36；T+3看58.26/止损50.55,参考信号日收盘价52.82，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,50.97,55.88,T+1：冲到55.88先减仓，跌破50.97止损；若高开低走不恋战,50.36,56.9,T+2：未突破56.90且量能转弱则减仓，跌破50.36退出,50.55,58.26,T+3：到58.26分批止盈，跌破50.55或MA5失守退出
